name,nickname,lat,lon,exraid
Geoff Hughes Baseball Complex,,52.111429,-106.703418,False
George Dyck Park South,,52.162657,-106.578019,True
German Cultural Centre,German Concordia Club,52.084722,-106.669288,False
Girgulis Park,,52.12645,-106.734549,True
Girgulis Park Tennis Courts,,52.126997,-106.734974,False
Glacier Park Sponsors,,52.12497,-106.599949,True
gordie howe campground,,52.107424,-106.69383,False
Grace Adam Metawewinihk Park,,52.124087,-106.693869,True
Greystone Park North II,,52.121698,-106.612529,True
Greystone Park Paddling Pool,,52.11929,-106.614406,False
Grosvenor Park United Church,,52.121365,-106.634505,False
Hampton Free Methodist Church,,52.151919,-106.714953,False
Hand Sculpture,,52.135467,-106.6398,True
Happy Outlook Statue,,52.134885,-106.648536,True
Harold Tatler South,,52.097128,-106.628219,True
Harvey Park S,,52.17528,-106.622485,False
Head of Fruit,,52.128723,-106.641282,False
Header House,,52.157028,-106.582422,True
Henry Kelsey Park North,,52.150378,-106.68216,True
Henry Kelsey Park West,,52.145926,-106.686742,True
Henry Kelsey Shrine,,52.143999,-106.688636,True
Herbert Stewart Park N.,,52.149215,-106.604209,True
Heritage Park,,52.103693,-106.581067,True
Heritage Park North,,52.104521,-106.578026,False
Heritage Square,,52.130062,-106.678495,False
Highways in the Sky!,,52.095793,-106.758473,False
Hockey Night Mural,,52.097111,-106.671682,False
Holiday Park,,52.110833,-106.687894,False
Holiday Park North East,,52.110771,-106.686655,True
Holland Park,,52.117045,-106.62174,True
Holy Covenant Church,,52.146828,-106.644782,False
Holy Resurrection Orthodox Church,,52.103519,-106.670701,False
Hope Fellowship Church,,52.141754,-106.682611,False
Horn Park,,52.144797,-106.648326,False
Hotel Senator,Senator Hotel,52.126781,-106.663193,False
Humpty Dumpty,,52.145894,-106.663172,False
Hyde Park,,52.098105,-106.570422,False
Hyde Park North Entrance,,52.09694,-106.566895,True
Hyde Park Rusty Steel Bridge,,52.095316,-106.566971,True
"Ice Cream, anyone?",North End Circle K Mural,52.183793,-106.630152,False
Idylwyld Park,,52.117152,-106.673555,False
Industrial Park,,52.148645,-106.66876,True
Informative Trounce Pond South,,52.098811,-106.570643,True
Innovus,,52.140308,-106.628095,True
Instrumental,,52.118497,-106.656088,False
Israel Stone,,52.117861,-106.643824,False
Jack McFaull Building Time Capsule,,52.140633,-106.630579,False
James Anderson Park North,,52.096744,-106.617612,True
Jastek Swirly 2,,52.139085,-106.593611,False
John Avant Park,,52.139089,-106.562547,False
John Hair Place,,52.09924,-106.658326,True
John Lake Park,,52.09513,-106.656282,True
Kate Waygood Park,,52.117459,-106.706062,True
Keep the Faith,,52.114156,-106.674694,True
Kilburn Park,,52.110177,-106.674147,True
Kiley's Audiovisual: Music Room,,52.129036,-106.674426,False
King Edward's Bell,,52.13247,-106.654906,False
King Street Nurses' Residence,,52.137723,-106.65325,False
Kingdom Hall of Jehovahs Witnesses,,52.136794,-106.649206,False
Kinsmen Park Ferris Wheel,,52.134062,-106.650777,True
Kistikan Park East,,52.093513,-106.610924,True
Kistikan Park West,,52.093424,-106.617311,False
Korpan Park,,52.173915,-106.563869,False
Lacoursiere Park West,,52.167976,-106.565788,False
Lakepointe Playground,Lakepointe Recreational Area,52.10122,-106.597815,False
Lakeview Park,,52.099308,-106.5928,True
Lakeview Park South,,52.095315,-106.59873,True
Lakewood Naturalized Area,,52.098147,-106.570225,False
Lakewood Naturalized Area South,,52.092673,-106.569034,False
Lakewood Park,,52.105979,-106.587192,True
Lakewood Park Naturalized Storm Water Storage Basin,,52.107005,-106.582855,True
Lakewood Park West,Lakewood Park Duck Pond Entrance,52.109097,-106.584149,False
Lakewood Park West Entrance,,52.103844,-106.584228,True
Lakewood SC Sign,,52.098651,-106.570854,True
Latham Park,,52.11655,-106.629334,True
LB Distillers,,52.166809,-106.652143,False
Leif Erickson Park Northwest,,52.1332,-106.693941,True
Leif Erickson Park Southwest,,52.130322,-106.693958,True
Les Kerr Park South,,52.140656,-106.584293,False
Light of the Prairies Society Inc,,52.116475,-106.586793,False
Long Walk to a Short Dock,,52.161254,-106.583064,True
Louise Street Community Church,,52.10266,-106.606478,False
Lt. Col. D. E. Walker Plaque,,52.106938,-106.728341,True
Lt. Col. D. Walker Park,,52.106927,-106.729574,True
Ma's Garden,,52.120796,-106.677156,True
Mahatma Gandhi,,52.127041,-106.66445,False
Marlbourough Park,,52.142994,-106.708759,True
Marriott Park,,52.149745,-106.647895,False
Marshall Hawthorn South,,52.079247,-106.615126,True
Massey Park,,52.115797,-106.650135,True
Massey Place Community Church,,52.139512,-106.717615,False
McClure United Church,,52.101941,-106.587976,False
McCormick Mower,,52.094729,-106.67414,False
McEown Park Plaque,,52.123794,-106.632776,True
Meadowgreen Park,,52.121782,-106.709054,True
Meadowgreen Park West,,52.120008,-106.711068,True
Meadowlark park,,52.091486,-106.643155,False
Meewasin Bench Memorial,,52.193937,-106.618338,False
Meewasin Park North End Entrance,,52.170204,-106.61029,False
Meewasin Trail Marker Spadina,,52.142545,-106.643668,True
Memorial Forest,,52.111061,-106.67894,True
Message in the Wind,,52.16981,-106.690181,False
Metal Pea Pod,,52.136969,-106.621325,True
Milestones,Liberty,52.115011,-106.618392,False
Missing Teeth Mural,,52.097189,-106.67116,False
Missionary Plow,,52.145274,-106.567186,False
Montgomery Place Memorial,,52.112826,-106.730832,True
Morris T. Cherneskey Park Playground,,52.126933,-106.749824,True
Morris T. Cherneskey Park Sign,,52.126587,-106.74378,True
MRMC Church,,52.13658,-106.692632,False
Narayan Temple,,52.167532,-106.62738,False
New Apostolic Church,,52.117335,-106.575366,False
New Life Church,,52.125031,-106.734963,False
No Arm Shield,,52.132637,-106.638652,False
Norseman Arches,,52.195678,-106.623329,False
North Richmond Heights,,52.151718,-106.63831,True
Nouveau Teepee,,52.141887,-106.651879,False
Nutana Kiwanis Park (gym),,52.102281,-106.617634,True
Nutana Park Mennonite Church,,52.100411,-106.629897,False
Optimist Park,,52.124542,-106.684559,True
Orbital Planes,,52.140702,-106.598832,False
Original Joe's Hockey,,52.17257,-106.647225,False
Original Victoria School,,52.129524,-106.64097,False
P.C.R. Banting Park,,52.160266,-106.632408,False
Pacific Park,,52.133906,-106.743158,True
Parc Canada,,52.138788,-106.730458,False
Parc Canada Baseball Diamond 2,,52.139315,-106.735316,False
Parc Canada Skating Rink,,52.138921,-106.735262,False
Parkridge Park North,,52.124077,-106.747314,False
Parkridge Park South,,52.120902,-106.747696,False
Paul Mostoway Dog Park,,52.153294,-106.700498,False
Pelican,,52.141523,-106.644327,False
Peter Pond Park,,52.127065,-106.714604,True
Peterbilt Sign,,52.170044,-106.667118,False
Petro Mohyla Institute,,52.125678,-106.639199,False
Pinehouse Drive Seventh Day Adventist Church,,52.167678,-106.619052,False
Pink Compass,,52.128755,-106.636083,False
Pioneers of Saskatoon,,52.120933,-106.65757,True
Pleasant Hill Mennonite Church,,52.129842,-106.71071,False
Portal De La Promesse,,52.164707,-106.612101,True
Prairie Star Gallery,,52.114591,-106.641639,False
Prairie Wind,The Wind,52.122875,-106.666686,False
Prairieland Park,,52.100373,-106.677333,False
Preston Avenue Community Church,,52.102843,-106.623027,False
Preston Crossing,,52.147274,-106.617575,False
Prosperity Mural,,52.102476,-106.668124,True
Purple Playground,,52.166799,-106.556806,True
Queen Sculpture,,52.116657,-106.656564,False
Queen's House,,52.107622,-106.678704,False
Race Track,,52.131355,-106.55303,False
Resurrection Lutheran,,52.173587,-106.628498,False
Rik Sternberg Park,,52.155566,-106.730788,True
Riversdale Kiwanis Park,,52.14252,-106.702007,True
Riversdale Kiwanis Park Sign South,,52.140301,-106.705573,True
Robert Hunter Park East,,52.164567,-106.634791,False
Rochdale Park,,52.170689,-106.621082,False
Rochdale Park NE Entrance,,52.174276,-106.615139,False
Rochdale Park SW entrance,,52.172157,-106.621206,True
Rock Power Sculpture,,52.131876,-106.650911,True
Roman Appaloosa,,52.096394,-106.670216,False
Rouillard Park,,52.14102,-106.556533,False
Royal Canadian Legion Saskatoon Branch 63,,52.121168,-106.678153,False
Ruckers,,52.129013,-106.706339,False
Running Man Statue,,52.131128,-106.652116,True
Rustic Machine,,52.114011,-106.61344,False
S.S. Orange Flower Spray Park,,52.160483,-106.590218,True
Saskatoon Cougar,Rusted Leopard,52.124193,-106.668231,False
Saskatoon Field House,,52.128555,-106.624107,False
Saskatoon Field House Main Entrance,,52.12738,-106.626387,False
Saskatoon Natural Grasslands Conservation Area,,52.164351,-106.594103,False
Sasktel Sports Centre,,52.148922,-106.579461,False
Scissor Bros,,52.132175,-106.658692,False
Sears Park,,52.119795,-106.732056,False
Sears Park Entrance,,52.121929,-106.724675,False
Second Mount Royal Diamond,,52.135291,-106.70118,False
Sen. John. Hnatyshyn Park,,52.14635,-106.71429,True
Senator J. Gladstone Park North,,52.150439,-106.694578,False
Seventh-Day Adventist Church,,52.115542,-106.66268,False
Sgt Hugh Cairns V C Armory,,52.139872,-106.669939,False
Shaun Smith Memorial Stone,,52.114249,-106.677184,False
